x,y,z,1,2,3,4
-27668,-1728,-9756,60,81,67,84
-26964,-1556,-9416,60,81,67,83
-26400,-780,-9112,60,80,67,83
-25944,-140,-9004,60,80,67,82
-25084,652,-8360,60,79,67,82
-24352,1484,-7656,61,79,68,81
-23564,2112,-7496,61,78,68,81
-22308,3004,-8544,61,77,69,79
-20708,3264,-10428,62,77,69,79
-19376,2932,-12476,62,77,69,79
-17004,1732,-15424,62,77,69,79
-14320,-64,-17668,62,77,69,79
-12604,-1148,-18628,62,77,69,79
-10072,-2200,-18976,63,77,69,79
-8264,-2792,-18496,62,77,69,79
-7228,-2736,-17764,62,76,69,81
-7132,-2320,-17392,62,76,69,81
-7772,-1368,-17168,63,76,69,82
-8960,-952,-17464,63,77,69,82
-9604,-672,-17420,63,77,69,82
-9700,-140,-17280,63,77,69,83
-9244,536,-16324,63,78,70,82
-8388,1132,-15628,63,77,70,82
-7108,1884,-14628,63,77,70,82
-5660,2776,-14184,64,77,70,82
-5192,3392,-14428,63,77,70,82
-5296,4424,-15172,63,77,70,82
-6356,5328,-16080,63,77,70,82
-7392,5796,-16356,63,77,70,82
-8856,6332,-16612,64,77,70,82
-9972,6528,-16228,63,78,70,82
-10560,6288,-15584,64,77,70,82
-11172,5864,-14708,64,77,70,82
-11324,5132,-13488,64,76,70,82
-11328,4476,-12788,64,76,69,82
-11264,3288,-11780,64,76,69,81
-11384,2016,-10992,64,75,70,81
-11324,608,-10228,64,75,69,81
-11388,-332,-9788,64,75,69,81
-11704,-1880,-9220,64,75,69,81
-11676,-3248,-8536,64,76,69,81
-11660,-4048,-8084,63,76,70,81
-12036,-5364,-7572,64,75,69,81
-12500,-6444,-6932,63,75,70,81
-12588,-7380,-6448,64,75,69,81
-12664,-8524,-5720,63,75,69,80
-12592,-9440,-4772,63,75,69,80
-12728,-10504,-3940,63,74,69,80
-12660,-11152,-3348,63,75,69,80
-12660,-12012,-2612,63,74,69,79
-12660,-12648,-1520,63,75,69,80
-12572,-13260,-520,63,74,69,79
-12516,-13820,280,63,75,69,79
-12436,-13996,996,63,74,69,79
-12300,-14280,1912,63,74,69,78
-12168,-14392,2752,62,74,69,78
-12236,-14440,3308,62,74,69,79
-12148,-14316,4080,63,74,69,78
-12004,-14184,4624,62,74,69,78
-12048,-13924,5000,62,73,69,78
-11812,-13124,5596,62,74,69,78
-11796,-12376,5968,62,74,69,78
-11484,-11308,6316,62,74,69,79
-11360,-10576,6448,62,74,69,79
-11328,-9428,6880,62,74,69,79
-11428,-8228,7132,62,74,69,79
-11484,-7276,7356,62,75,68,79
-12060,-5960,7436,62,74,68,79
-12676,-4424,7664,62,73,68,79
-13132,-3428,7860,62,73,68,79
-13812,-1824,8164,61,73,67,79
-14600,-320,8644,61,72,67,79
-14912,892,8864,62,72,68,79
-15312,2496,9208,62,72,67,79
-15508,3432,9232,61,72,67,79
-15760,4816,9492,61,72,67,79
-15892,5684,9580,61,72,67,79
-16156,6956,9664,61,72,67,79
-16188,7724,9856,60,72,66,79
-16480,9088,10116,60,72,66,79
-16936,10284,10472,60,72,66,79
-17052,11088,10916,60,72,66,79
-17396,12372,11356,60,72,66,78
-17508,13300,11596,59,73,66,78
-17720,13884,11736,60,72,66,77
-17928,14560,12364,59,72,66,76
-18072,15012,12988,59,72,65,75
-17800,15132,14056,59,72,66,76
-17460,15084,14692,59,72,65,74
-17008,14864,15424,59,72,65,75
-16424,14456,16608,59,72,65,74
-15828,13872,17600,59,71,65,75
-15280,13376,17968,58,72,65,74
-14844,12460,18684,58,72,65,74
-14324,11572,19036,58,71,65,75
-14384,11004,19152,58,72,65,74
-14128,9988,19544,58,72,65,73
-14132,9216,19612,58,71,65,74
-14360,8612,19628,58,71,65,74
-14520,7936,19680,58,71,65,73
-14624,7440,19836,58,72,64,74
-14816,7028,19892,57,72,64,73
-15092,6588,19808,57,71,65,74
-15216,6288,19612,57,72,64,73
-15296,6060,19492,58,71,64,73
-15188,6044,19216,59,70,64,72
-16696,4916,17956,60,71,65,73
-20244,2988,17200,62,71,67,73
-22748,3852,16252,64,70,69,72
-22752,6416,15196,66,72,71,73
-22704,7016,14468,68,70,73,73
-21816,8424,14684,70,74,73,73
-21428,10160,16600,71,73,74,74
-25824,14640,27860,72,73,75,74
-32768,20228,32767,73,73,77,75
-32768,23576,32767,73,72,78,74
-32768,21504,32767,73,70,78,72
-32768,14772,32767,74,70,78,71
-32768,7188,32767,75,70,79,72
-32768,6780,32767,75,70,80,72
-32768,8588,17180,75,70,80,72
-32768,9968,4200,76,70,81,72
-32768,10472,-2300,76,70,82,73
-32768,9940,-11728,77,71,82,74
-26848,9020,-23092,77,71,83,74
-19804,8076,-31676,78,72,83,75
-5104,5192,-32768,78,72,83,75
10516,1348,-32768,78,72,84,76
22288,-304,-32768,78,72,84,77
32767,-1332,-32768,79,72,84,78
32767,-5244,-32768,79,73,84,78
20792,-6464,-26968,79,73,84,78
8552,-6308,-19636,79,73,84,78
-7672,-5052,-10808,79,72,84,78
-20348,-3604,-3980,79,72,85,77
-26736,-1980,-1240,79,72,85,76
-32768,-320,1420,79,72,85,76
-32768,4244,5080,79,72,85,76
-32768,1436,4568,79,72,85,77
-32768,-3756,11192,80,71,85,76
-32768,-3268,10668,79,71,84,76
-32768,-2876,12560,80,71,84,76
