x,y,z,1,2,3,4
-16180,1992,-6560,89,75,93,72
-15960,2888,-6620,89,75,93,72
-15624,3700,-6916,89,75,93,73
-15660,4120,-6996,89,75,93,72
-15772,4888,-7064,89,75,93,71
-16064,5296,-6864,89,76,93,71
-15832,5548,-7104,89,75,93,71
-15720,5552,-6992,89,75,93,71
-15900,5592,-6896,89,75,93,70
-15780,5572,-6884,89,76,93,71
-15788,5420,-6568,89,75,93,71
-15704,5228,-6536,89,76,93,72
-15616,4944,-6424,89,76,93,71
-15400,4480,-6192,89,75,93,71
-15464,4188,-5952,89,76,93,72
-15496,3660,-5844,89,76,93,72
-15424,2952,-5768,89,76,93,71
-15416,2468,-5680,89,76,93,72
-15640,1932,-5552,89,76,93,72
-15728,1408,-5596,89,76,93,72
-15800,1060,-5384,89,76,93,72
-15856,404,-5560,89,76,93,72
-15856,116,-5484,89,76,93,72
-16172,-464,-5688,89,76,93,72
-16588,-848,-5528,89,77,93,73
-16484,-824,-5700,89,77,93,73
-16440,-1632,-5824,89,77,93,73
-16196,-2012,-6152,89,77,93,73
-16212,-2128,-6116,89,77,93,73
-16156,-2228,-6160,89,77,93,73
-16172,-2156,-6360,89,77,93,73
-16188,-2220,-6172,89,77,93,74
-16288,-2328,-6248,89,77,93,74
-16020,-2560,-6484,89,77,93,74
-15788,-2760,-6408,89,77,93,74
-15728,-3040,-6368,89,77,93,74
-15536,-3156,-6384,89,77,93,74
-15532,-3324,-6216,89,77,93,74
-15588,-3508,-6168,89,76,93,74
-15680,-3444,-5960,89,77,93,74
-15900,-3432,-5832,89,76,93,74
-15900,-3540,-5640,89,76,93,74
-15892,-3580,-5608,89,76,93,74
-15864,-3600,-5592,89,76,93,73
-15732,-3360,-5560,89,76,93,73
-15684,-3328,-5344,89,76,93,73
-15600,-3068,-5204,89,76,93,73
-15500,-2764,-5256,89,76,93,73
-15556,-2444,-5132,89,76,93,73
-15512,-2232,-5276,89,76,93,72
-15656,-2072,-5136,89,76,93,72
-15628,-1828,-5400,88,76,93,71
-15620,-1540,-5164,89,76,93,70
-15628,-1352,-5272,89,76,93,70
-15576,-1072,-5248,89,76,93,69
-15728,-696,-5416,89,76,93,68
-15716,-572,-5404,89,76,93,67
-15652,-440,-5284,89,76,93,66
-15876,-260,-5548,89,75,93,65
-16000,-324,-5440,89,75,93,63
-16100,-244,-5672,88,75,93,62
-16188,-112,-5532,88,74,93,62
-16368,-172,-5548,88,74,92,61
-16628,-180,-5496,88,73,92,61
-16744,-152,-5816,88,73,92,60
-16880,-272,-5676,88,72,92,59
-17132,-336,-6040,88,72,92,59
-17208,-568,-6092,88,70,92,58
-17260,-728,-6136,88,70,92,56
-17468,-836,-6192,87,69,92,57
-17452,-1172,-5976,87,68,92,57
-17352,-1324,-5948,87,66,91,57
-17248,-1440,-5732,87,65,91,56
-17156,-1560,-5428,87,64,91,57
-17136,-1584,-5500,87,63,91,56
-17132,-1624,-5292,87,62,91,56
-17032,-1632,-5100,86,61,91,56
-17072,-1588,-5100,86,61,91,56
-17228,-1516,-5300,86,61,91,56
-17200,-1460,-5192,86,61,90,55
-17452,-1224,-5084,86,61,90,56
-17640,-1108,-5568,85,61,90,54
-18164,-1028,-5428,85,61,89,52
-18748,-896,-5396,85,60,89,54
-19296,-604,-5532,84,61,89,54
-19672,-608,-5492,84,62,88,53
-20284,-676,-5764,83,62,88,54
-20396,-900,-5764,83,61,88,55
-20848,-1056,-5836,83,62,88,55
-20992,-1304,-6224,82,61,87,57
-21008,-1820,-6672,82,60,87,58
-20932,-2068,-6860,81,59,86,58
-20568,-2584,-7276,80,60,86,56
-20464,-3152,-7536,80,60,85,57
-20292,-3520,-7552,79,61,85,57
-20220,-3956,-7676,78,61,84,56
-20292,-4276,-7688,78,61,84,55
-21468,-5104,-7780,77,61,83,55
-21948,-5176,-7360,76,63,82,56
-22552,-5728,-7220,75,62,82,56
-23200,-6444,-7472,75,62,81,56
-23448,-6884,-8244,74,62,81,54
-23288,-6872,-8928,74,62,80,53
-22600,-7076,-9640,73,63,80,55
-21580,-6824,-10436,73,62,80,53
-20632,-6068,-11284,73,62,79,56
